time,firstharmonic
# vbeam=8.0, gamma=0.0160, sat_time=0.8040201005025126
0.000000000000000000e+00,7.981582642942696565e-03
4.020100502512563012e-01,9.253803354149339744e-03
8.040201005025126024e-01,9.609878667364003119e-03
1.206030150753768959e+00,8.995361614638463718e-03
1.608040201005025205e+00,7.792369009186899016e-03
2.010050251256281673e+00,6.984308816791668859e-03
2.412060301507537918e+00,6.357309387884424456e-03
2.814070351758794164e+00,5.490098433601379307e-03
3.216080402010050410e+00,4.325241778924240714e-03
3.618090452261306655e+00,5.305938419684764866e-03
4.020100502512563345e+00,9.479297041607322866e-03
4.422110552763819591e+00,1.469187502568855899e-02
4.824120603015075837e+00,2.010131153176142674e-02
5.226130653266332082e+00,2.483263538652421068e-02
5.628140703517588328e+00,2.862572159251757301e-02
6.030150753768844574e+00,3.105750127849303890e-02
6.432160804020100819e+00,3.300074362506788539e-02
6.834170854271357065e+00,3.427204900452088948e-02
7.236180904522613311e+00,3.595926596631245781e-02
7.638190954773869557e+00,3.870855745237537782e-02
8.040201005025126690e+00,4.326597779104744690e-02
8.442211055276382936e+00,5.041632818420936635e-02
8.844221105527639182e+00,6.023252870022373362e-02
9.246231155778895427e+00,7.240522573119349825e-02
9.648241206030151673e+00,8.619028502486186794e-02
1.005025125628140792e+01,1.002351657032589244e-01
1.045226130653266416e+01,1.141138931409999835e-01
1.085427135678392041e+01,1.271362154030392655e-01
1.125628140703517666e+01,1.396905440589039649e-01
1.165829145728643290e+01,1.520134700448629028e-01
1.206030150753768915e+01,1.646981689798568405e-01
1.246231155778894539e+01,1.779542973226193314e-01
1.286432160804020164e+01,1.913967276103969717e-01
1.326633165829145788e+01,2.041602309745562116e-01
1.366834170854271413e+01,2.143523448097071904e-01
1.407035175879397038e+01,2.199872275982591441e-01
1.447236180904522662e+01,2.190102178002187594e-01
1.487437185929648287e+01,2.107950211355074099e-01
1.527638190954773911e+01,1.964750544043612768e-01
1.567839195979899536e+01,1.805067322905438698e-01
1.608040201005025338e+01,1.686683706242924630e-01
1.648241206030150963e+01,1.664666435974110348e-01
1.688442211055276587e+01,1.754699215695287307e-01
1.728643216080402212e+01,1.932639632248933093e-01
1.768844221105527836e+01,2.148486423045958271e-01
1.809045226130653461e+01,2.335665380409715497e-01
1.849246231155779085e+01,2.444049786812887426e-01
1.889447236180904710e+01,2.437739114824852005e-01
1.929648241206030335e+01,2.316574650580806582e-01
1.969849246231155959e+01,2.107145809044205509e-01
2.010050251256281584e+01,1.860168217609590169e-01
2.050251256281407208e+01,1.633842081799209422e-01
2.090452261306532833e+01,1.480891844789810619e-01
2.130653266331658457e+01,1.440683285558431725e-01
2.170854271356784082e+01,1.526532347469150563e-01
2.211055276381909707e+01,1.723109610540989045e-01
2.251256281407035331e+01,1.989474135771400198e-01
2.291457286432160956e+01,2.266115445681310958e-01
2.331658291457286580e+01,2.494661472642045186e-01
2.371859296482412205e+01,2.618214742198280987e-01
2.412060301507537829e+01,2.605001645131213572e-01
2.452261306532663454e+01,2.439931113871577073e-01
2.492462311557789079e+01,2.146793629479580579e-01
2.532663316582914703e+01,1.807317466674462914e-01
2.572864321608040328e+01,1.516196071497184217e-01
2.613065326633165952e+01,1.364241705101816027e-01
2.653266331658291577e+01,1.382460631132577944e-01
2.693467336683417201e+01,1.545221922344470200e-01
2.733668341708542826e+01,1.788157456987815030e-01
2.773869346733668451e+01,2.032362712780403091e-01
2.814070351758794075e+01,2.214182863409649149e-01
2.854271356783919700e+01,2.295966658323574383e-01
2.894472361809045324e+01,2.269251505579650274e-01
2.934673366834170949e+01,2.147044415875719869e-01
2.974874371859296573e+01,1.948055934377659337e-01
3.015075376884422198e+01,1.710028087052993528e-01
3.055276381909547823e+01,1.482246884708670054e-01
3.095477386934673447e+01,1.330674079140827804e-01
3.135678391959799072e+01,1.318054638977226301e-01
3.175879396984924696e+01,1.472116550832762161e-01
3.216080402010050676e+01,1.778681118108018100e-01
3.256281407035176301e+01,2.179714397690380445e-01
3.296482412060301925e+01,2.595133434235370462e-01
3.336683417085427550e+01,2.944509784046784873e-01
3.376884422110553174e+01,3.141539879839687632e-01
3.417085427135678799e+01,3.125353159162131966e-01
3.457286432160804424e+01,2.875177121312176842e-01
3.497487437185930048e+01,2.422222267738852464e-01
3.537688442211055673e+01,1.874013259508433282e-01
3.577889447236181297e+01,1.371530007366991710e-01
3.618090452261306922e+01,1.046340134596767113e-01
3.658291457286432546e+01,9.695878846011599106e-02
3.698492462311558171e+01,1.140205793114648786e-01
3.738693467336683796e+01,1.482787178228085756e-01
