time,firstharmonic
# noise_floor=0.0007073233107618632, sat_time=0.0
0.000000000000000000e+00,1.790307923573950660e-02
4.020100502512563012e-01,1.370199148878126563e-02
8.040201005025126024e-01,7.262110552408470969e-03
1.206030150753768959e+00,1.570185329619079844e-03
1.608040201005025205e+00,7.903157239861064234e-03
2.010050251256281673e+00,1.348733272590258228e-02
2.412060301507537918e+00,1.629320885826743281e-02
2.814070351758794164e+00,1.589053035889911175e-02
3.216080402010050410e+00,1.248543956287339642e-02
3.618090452261306655e+00,6.568822182318768792e-03
4.020100502512563345e+00,7.073233107618632273e-04
4.422110552763819591e+00,7.310509924125042740e-03
4.824120603015075837e+00,1.263843190458398789e-02
5.226130653266332082e+00,1.520063077037276701e-02
5.628140703517588328e+00,1.461071766832978611e-02
6.030150753768844574e+00,1.110883529238998295e-02
6.432160804020100819e+00,5.234499000266571583e-03
6.834170854271357065e+00,4.390076726012449512e-03
7.236180904522613311e+00,1.095081312881385216e-02
7.638190954773869557e+00,1.682993878145168029e-02
8.040201005025126690e+00,2.005315936067789823e-02
8.442211055276382936e+00,2.033415230235724805e-02
8.844221105527639182e+00,1.762525265529964885e-02
9.246231155778895427e+00,1.228726737658598911e-02
9.648241206030151673e+00,6.022198985674409588e-03
1.005025125628140792e+01,2.893839485710225125e-03
1.045226130653266416e+01,6.995522545902467873e-03
1.085427135678392041e+01,9.660652952828491929e-03
1.125628140703517666e+01,9.853188364421536921e-03
1.165829145728643290e+01,7.590515733572037252e-03
1.206030150753768915e+01,7.431288597228781490e-03
1.246231155778894539e+01,1.206688190101844887e-02
1.286432160804020164e+01,1.933372436888470408e-02
1.326633165829145788e+01,2.580573354509129586e-02
1.366834170854271413e+01,3.045890430548338010e-02
1.407035175879397038e+01,3.204326088511864901e-02
1.447236180904522662e+01,3.075161159848695952e-02
1.487437185929648287e+01,2.733822707030795357e-02
1.527638190954773911e+01,2.248060233794467108e-02
1.567839195979899536e+01,1.776963157066294846e-02
1.608040201005025338e+01,1.394239961576640430e-02
1.648241206030150963e+01,1.183069503068451614e-02
1.688442211055276587e+01,1.214481193984060306e-02
1.728643216080402212e+01,1.298769947727509456e-02
1.768844221105527836e+01,1.584494714861898329e-02
1.809045226130653461e+01,2.094966119241766303e-02
1.849246231155779085e+01,2.716444257969604509e-02
1.889447236180904710e+01,3.268893535341925449e-02
1.929648241206030335e+01,3.643754411743106714e-02
1.969849246231155959e+01,3.733366146209628200e-02
2.010050251256281584e+01,3.482766498047750597e-02
2.050251256281407208e+01,2.881583356860677875e-02
2.090452261306532833e+01,2.194748117654917938e-02
2.130653266331658457e+01,1.746932835710407819e-02
2.170854271356784082e+01,1.745681775142138292e-02
2.211055276381909707e+01,2.309611088976567042e-02
2.251256281407035331e+01,3.226859799573560117e-02
2.291457286432160956e+01,4.143772587999889484e-02
2.331658291457286580e+01,4.708087222108417458e-02
2.371859296482412205e+01,4.792089978095278452e-02
2.412060301507537829e+01,4.525709732710997413e-02
2.452261306532663454e+01,4.033931098791665448e-02
2.492462311557789079e+01,3.495488938150907721e-02
2.532663316582914703e+01,3.269601348485764308e-02
2.572864321608040328e+01,3.401682662106379762e-02
2.613065326633165952e+01,3.856512181296115060e-02
2.653266331658291577e+01,4.496275731046790736e-02
2.693467336683417201e+01,5.116556927557881773e-02
2.733668341708542826e+01,5.660923654834232321e-02
2.773869346733668451e+01,5.917947724631224954e-02
2.814070351758794075e+01,5.859395386911431247e-02
2.854271356783919700e+01,5.531533883462398660e-02
2.894472361809045324e+01,5.102343340651830511e-02
2.934673366834170949e+01,4.764262474222447780e-02
2.974874371859296573e+01,4.579260662157279976e-02
3.015075376884422198e+01,4.722632296005825625e-02
3.055276381909547823e+01,5.219440430455944691e-02
3.095477386934673447e+01,5.980183070604401518e-02
3.135678391959799072e+01,6.891227191887641657e-02
3.175879396984924696e+01,7.706856826360188040e-02
3.216080402010050676e+01,8.163360890861859342e-02
3.256281407035176301e+01,8.119448366557478758e-02
3.296482412060301925e+01,7.589930391830398970e-02
3.336683417085427550e+01,6.719772270107055023e-02
3.376884422110553174e+01,5.804323486007921529e-02
3.417085427135678799e+01,5.071855734969071827e-02
3.457286432160804424e+01,4.798939831480757146e-02
3.497487437185930048e+01,5.001721751270460370e-02
3.537688442211055673e+01,5.635383995407998448e-02
3.577889447236181297e+01,6.581426600500678292e-02
3.618090452261306922e+01,7.665748287324151977e-02
3.658291457286432546e+01,8.697543450329477122e-02
3.698492462311558171e+01,9.428532152679522382e-02
3.738693467336683796e+01,9.653485472701185677e-02
3.778894472361809420e+01,9.332288534752244957e-02
3.819095477386935045e+01,8.465575303594533030e-02
3.859296482412060669e+01,7.216669210554285674e-02
3.899497487437186294e+01,5.839466642912309602e-02
3.939698492462311918e+01,4.633687765950110504e-02
3.979899497487437543e+01,3.791631554954957850e-02
4.020100502512563168e+01,3.522910434316869205e-02
4.060301507537688792e+01,3.813765642086288515e-02
4.100502512562814417e+01,4.647442146865180673e-02
4.140703517587940041e+01,5.761170403111550570e-02
4.180904522613065666e+01,6.940176909098688673e-02
4.221105527638191290e+01,7.965554082065497143e-02
4.261306532663316915e+01,8.573359109776425291e-02
4.301507537688442540e+01,8.635693259208235273e-02
4.341708542713568164e+01,8.118021132082134383e-02
4.381909547738693789e+01,7.127305038484819943e-02
4.422110552763819413e+01,5.829036600670374491e-02
4.462311557788945038e+01,4.485806633836341567e-02
4.502512562814070662e+01,3.382126771875203913e-02
4.542713567839196287e+01,2.711050026607543170e-02
4.582914572864321912e+01,2.719167779322194736e-02
4.623115577889447536e+01,3.439886152766895300e-02
4.663316582914573161e+01,4.600192336774786700e-02
4.703517587939698785e+01,5.821233276097509401e-02
4.743718592964824410e+01,6.916489977054003646e-02
4.783919597989950034e+01,7.599745563806452331e-02
4.824120603015075659e+01,7.782307618736568344e-02
4.864321608040201284e+01,7.440366542968127050e-02
4.904522613065326908e+01,6.663457757092441924e-02
4.944723618090452533e+01,5.680085088157645762e-02
4.984924623115578157e+01,4.643436269160598068e-02
5.025125628140703782e+01,3.760964814189230593e-02
5.065326633165829406e+01,3.173956860828597987e-02
5.105527638190955031e+01,2.828769515358359882e-02
5.145728643216080656e+01,2.848667336846767012e-02
5.185929648241206280e+01,3.372637938241435790e-02
5.226130653266331905e+01,4.286448099842966875e-02
5.266331658291457529e+01,5.419349909959557399e-02
5.306532663316583154e+01,6.485993753373968385e-02
5.346733668341708778e+01,7.304288751695750537e-02
5.386934673366834403e+01,7.740276407389509727e-02
5.427135678391960028e+01,7.807633358594359696e-02
5.467336683417085652e+01,7.575464592402525454e-02
5.507537688442211277e+01,7.116459426331604721e-02
5.547738693467336901e+01,6.534648978272618314e-02
5.587939698492462526e+01,5.935956299280374659e-02
5.628140703517588150e+01,5.364780166224971530e-02
5.668341708542713775e+01,4.877369239004619716e-02
5.708542713567839400e+01,4.505897302170226021e-02
5.748743718592965024e+01,4.406928589183854716e-02
5.788944723618090649e+01,4.666006372432142391e-02
5.829145728643216273e+01,5.280610042238291502e-02
5.869346733668341898e+01,6.030427952934461905e-02
5.909547738693467522e+01,6.780589639597620066e-02
5.949748743718593147e+01,7.313629749547453929e-02
5.989949748743718771e+01,7.501873836183754751e-02
6.030150753768844396e+01,7.390966043888015646e-02
6.070351758793970021e+01,7.030234847934849207e-02
6.110552763819095645e+01,6.593380257628499164e-02
6.150753768844221270e+01,6.169524533435551822e-02
6.190954773869346894e+01,5.897672761629400157e-02
6.231155778894472519e+01,5.727327533461181591e-02
6.271356783919598143e+01,5.584735571915794283e-02
6.311557788944723768e+01,5.436904978253356141e-02
6.351758793969849393e+01,5.346705918935608370e-02
6.391959798994975017e+01,5.362170344391771482e-02
6.432160804020101352e+01,5.615083286019893760e-02
6.472361809045226266e+01,6.027380584540335123e-02
6.512562814070352601e+01,6.478112253735314463e-02
6.552763819095477515e+01,6.819524153669651034e-02
6.592964824120603851e+01,6.987516908994448328e-02
6.633165829145728765e+01,6.985900894705733555e-02
6.673366834170855100e+01,6.980319731791259641e-02
6.713567839195980014e+01,7.047263939468903504e-02
6.753768844221106349e+01,7.169615124865415245e-02
6.793969849246231263e+01,7.274905153714730788e-02
6.834170854271357598e+01,7.213608029178600334e-02
6.874371859296482512e+01,6.947607896918804593e-02
6.914572864321608847e+01,6.499041459408130827e-02
6.954773869346733761e+01,5.991162420855820903e-02
6.994974874371860096e+01,5.639419779542009792e-02
7.035175879396985010e+01,5.588534314300737382e-02
7.075376884422111345e+01,5.828635533918635758e-02
7.115577889447236259e+01,6.222865320666311206e-02
7.155778894472362595e+01,6.528237845467682599e-02
7.195979899497487509e+01,6.711287041361950478e-02
7.236180904522613844e+01,6.751956956521491804e-02
7.276381909547738758e+01,6.793121718078111437e-02
7.316582914572865093e+01,6.871930880951013232e-02
7.356783919597990007e+01,6.981723579154264225e-02
7.396984924623116342e+01,7.031002084890373982e-02
7.437185929648241256e+01,6.904704471133667198e-02
7.477386934673367591e+01,6.537685878800876538e-02
7.517587939698492505e+01,5.978906411567355000e-02
7.557788944723618840e+01,5.374564523227252227e-02
7.597989949748743754e+01,4.971140259704946718e-02
7.638190954773870089e+01,4.880934409228947224e-02
7.678391959798995003e+01,5.079577927974227025e-02
7.718592964824121339e+01,5.397615811708433853e-02
7.758793969849246253e+01,5.716512249703618181e-02
7.798994974874372588e+01,5.970817798146593747e-02
7.839195979899497502e+01,6.238532623401264743e-02
7.879396984924623837e+01,6.522395670243671950e-02
7.919597989949748751e+01,6.826030193786644662e-02
7.959798994974875086e+01,6.995291308989423640e-02
8.000000000000000000e+01,6.980816410613545353e-02
