vbeam,sat_mean,sat_std,sat_min,sat_max,n_sat,noise_mean,noise_std
0.0,0.0,0.0,0.0,0.0,3,0.00038148408755683615,5.421010862427522e-20
0.42105263157894735,0.0,0.0,0.0,0.0,3,0.00016689587848049722,2.710505431213761e-20
0.8421052631578947,0.1340033500837521,0.18950935509187203,0.0,0.4020100502512563,3,0.0005658969327285396,0.00010833358837482112
1.263157894736842,0.8040201005025126,0.0,0.8040201005025126,0.8040201005025126,3,0.0002841483593003324,0.0
1.6842105263157894,0.8040201005025126,0.0,0.8040201005025126,0.8040201005025126,3,1.574296058154102e-05,0.0
2.1052631578947367,0.4020100502512563,0.5685280652756163,0.0,1.206030150753769,3,0.001159564119987019,0.0003375424155363745
2.526315789473684,0.0,0.0,0.0,0.0,3,0.0003673877292327484,0.0
2.9473684210526314,0.0,0.0,0.0,0.0,3,0.001444022558884632,0.0
3.3684210526315788,0.0,0.0,0.0,0.0,3,0.0009410773875442587,1.0842021724855044e-19
3.789473684210526,0.0,0.0,0.0,0.0,3,0.0012713218307884308,0.0
4.2105263157894735,0.0,0.0,0.0,0.0,3,0.003951445052036809,0.0023781885740755764
4.631578947368421,0.0,0.0,0.0,0.0,3,0.0006299552244849638,0.0
5.052631578947368,0.0,0.0,0.0,0.0,3,0.0006931788391617981,0.0005502830130390634
5.473684210526315,0.0,0.0,0.0,0.0,3,0.002202295222775324,0.001047773540241169
5.894736842105263,0.0,0.0,0.0,0.0,3,0.0031382417409105043,0.0016546855441767082
6.315789473684211,0.0,0.0,0.0,0.0,3,0.0011064314303049104,0.001125239667880545
6.7368421052631575,0.0,0.0,0.0,0.0,3,0.0011566207523481767,0.0005294579675298155
7.157894736842104,0.0,0.0,0.0,0.0,3,0.0009593299998801027,0.0
7.578947368421052,0.8040201005025126,0.0,0.8040201005025126,0.8040201005025126,3,0.0029705993467088313,4.336808689942018e-19
8.0,0.2680067001675042,0.37901871018374406,0.0,0.8040201005025126,3,0.001545897159969576,0.0011791139535893308
