vbeam,sat_mean,sat_std,sat_min,sat_max,n_sat,noise_mean,noise_std
0.0,0.0,0.0,0.0,0.0,5,0.0005709919054400442,0.0
0.42105263157894735,0.0,0.0,0.0,0.0,5,0.0004891884975559504,0.0004174826328115074
0.8421052631578947,0.0,0.0,0.0,0.0,5,0.001042395519531771,0.0
1.263157894736842,0.0,0.0,0.0,0.0,5,0.0012490081828457128,8.739246123391446e-05
1.6842105263157894,0.0,0.0,0.0,0.0,5,0.0009252912478620404,0.0002614325654097222
2.1052631578947367,0.0,0.0,0.0,0.0,5,0.0004680882213939848,0.00020048105010166706
2.526315789473684,0.0,0.0,0.0,0.0,5,0.001675742477848481,0.0007138094554178611
2.9473684210526314,0.0,0.0,0.0,0.0,5,0.0007301918109807268,0.0002980137256155688
3.3684210526315788,0.0,0.0,0.0,0.0,5,0.0004998497062611298,0.0004173896173913736
3.789473684210526,0.0,0.0,0.0,0.0,5,0.0002659697433030636,7.557171259316746e-05
4.2105263157894735,0.0,0.0,0.0,0.0,5,0.0010109480393214962,0.00043364113552716703
4.631578947368421,0.0,0.0,0.0,0.0,5,0.00231026663633317,0.0002735402790923599
5.052631578947368,0.0,0.0,0.0,0.0,5,0.0019651796051270306,0.00012860518349411105
5.473684210526315,0.0,0.0,0.0,0.0,5,0.0029995433288743005,0.001047741490403788
5.894736842105263,0.0,0.0,0.0,0.0,5,0.0032370014978508306,0.000993038349761099
6.315789473684211,0.08040201005025126,0.16080402010050251,0.0,0.4020100502512563,5,0.001545775259356625,0.0006775416038664498
6.7368421052631575,0.2412060301507538,0.19694389891724046,0.0,0.4020100502512563,5,0.002318077647287615,0.0007763525463112434
7.157894736842104,0.2412060301507538,0.19694389891724046,0.0,0.4020100502512563,5,0.0027730060390888656,0.0007063947055223594
7.578947368421052,0.16080402010050251,0.19694389891724046,0.0,0.4020100502512563,5,0.0026758124906019628,0.001323825127259737
8.0,0.16080402010050251,0.19694389891724046,0.0,0.4020100502512563,5,0.0032034159864985532,0.0012184499550964719
