time,firstharmonic
# vbeam=6.315789473684211, gamma=0.0728, sat_time=0.4020100502512563
0.000000000000000000e+00,2.483272675868795562e-02
4.020100502512563012e-01,2.555657671955003860e-02
8.040201005025126024e-01,2.174078875887520274e-02
1.206030150753768959e+00,1.491649444672362226e-02
1.608040201005025205e+00,7.418851268748706193e-03
2.010050251256281673e+00,6.227730863634769500e-03
2.412060301507537918e+00,1.022631819289092185e-02
2.814070351758794164e+00,1.113108426375356182e-02
3.216080402010050410e+00,7.616831886265345089e-03
3.618090452261306655e+00,7.776408888325776498e-04
4.020100502512563345e+00,1.079358986732957201e-02
4.422110552763819591e+00,2.224677171742891341e-02
4.824120603015075837e+00,3.262125578300332368e-02
5.226130653266332082e+00,3.968935990528581204e-02
5.628140703517588328e+00,4.290370124000554564e-02
6.030150753768844574e+00,4.180723918040104431e-02
6.432160804020100819e+00,3.745114934395126632e-02
6.834170854271357065e+00,3.161601379868538009e-02
7.236180904522613311e+00,2.630717684490552905e-02
7.638190954773869557e+00,2.280180218049741858e-02
8.040201005025126690e+00,2.290497205638975312e-02
8.442211055276382936e+00,2.730204969037542881e-02
8.844221105527639182e+00,3.681258251602285980e-02
9.246231155778895427e+00,5.022436288165209317e-02
9.648241206030151673e+00,6.529484477621394500e-02
1.005025125628140792e+01,7.975396406433993279e-02
1.045226130653266416e+01,9.127005826565902369e-02
1.085427135678392041e+01,9.849365049704297825e-02
1.125628140703517666e+01,1.008132407071594266e-01
1.165829145728643290e+01,9.852345091090858320e-02
1.206030150753768915e+01,9.219833609412744768e-02
1.246231155778894539e+01,8.336915693784865966e-02
1.286432160804020164e+01,7.355513191264614892e-02
1.326633165829145788e+01,6.443824255388333477e-02
1.366834170854271413e+01,5.738188611650327925e-02
1.407035175879397038e+01,5.429194243441122503e-02
1.447236180904522662e+01,5.616836228413504134e-02
1.487437185929648287e+01,6.346161959468424318e-02
1.527638190954773911e+01,7.494680878486094378e-02
1.567839195979899536e+01,8.865615909342070000e-02
1.608040201005025338e+01,1.018674627158332180e-01
1.648241206030150963e+01,1.117046826857500952e-01
1.688442211055276587e+01,1.161132727867600911e-01
1.728643216080402212e+01,1.143506256488615175e-01
1.768844221105527836e+01,1.064431609492282604e-01
1.809045226130653461e+01,9.417425380626065490e-02
1.849246231155779085e+01,8.030109060638000729e-02
1.889447236180904710e+01,6.824746576003971887e-02
1.929648241206030335e+01,6.063204614792912922e-02
1.969849246231155959e+01,5.919535862630546930e-02
