time,firstharmonic
# vbeam=5.473684210526315, gamma=0.1609, sat_time=0.8040201005025126
0.000000000000000000e+00,1.146823361526428352e-02
4.020100502512563012e-01,1.262022922513017856e-02
8.040201005025126024e-01,1.215245691458364044e-02
1.206030150753768959e+00,9.986907078924843820e-03
1.608040201005025205e+00,7.267066299072280806e-03
2.010050251256281673e+00,6.127098501391021676e-03
2.412060301507537918e+00,7.035023296652449624e-03
2.814070351758794164e+00,7.949030711518353942e-03
3.216080402010050410e+00,7.742694793896472485e-03
3.618090452261306655e+00,5.288239085249316421e-03
4.020100502512563345e+00,1.198597188878158153e-03
4.422110552763819591e+00,4.356764000818754735e-03
4.824120603015075837e+00,9.953793236503102534e-03
5.226130653266332082e+00,1.523374753965990938e-02
5.628140703517588328e+00,1.888115463271515526e-02
6.030150753768844574e+00,2.081419786958654816e-02
6.432160804020100819e+00,2.079834471438652202e-02
6.834170854271357065e+00,1.949141347957920878e-02
7.236180904522613311e+00,1.770106867216026530e-02
7.638190954773869557e+00,1.601033846404200517e-02
8.040201005025126690e+00,1.474972942973830706e-02
8.442211055276382936e+00,1.392134820470153876e-02
8.844221105527639182e+00,1.411083119537567820e-02
9.246231155778895427e+00,1.588215918012530689e-02
9.648241206030151673e+00,2.030956129646664665e-02
1.005025125628140792e+01,2.669777969211320490e-02
1.045226130653266416e+01,3.390629244670299164e-02
1.085427135678392041e+01,4.058883621859261936e-02
1.125628140703517666e+01,4.598410529666462770e-02
1.165829145728643290e+01,4.951879215163198372e-02
1.206030150753768915e+01,5.098907658686445410e-02
1.246231155778894539e+01,5.038647367583538872e-02
1.286432160804020164e+01,4.858839398092434231e-02
1.326633165829145788e+01,4.626841756476268719e-02
1.366834170854271413e+01,4.375412552659894982e-02
1.407035175879397038e+01,4.175305616630628491e-02
1.447236180904522662e+01,4.012038370001368148e-02
1.487437185929648287e+01,3.899261968816618296e-02
1.527638190954773911e+01,3.838407024327052802e-02
1.567839195979899536e+01,3.891477661333318794e-02
1.608040201005025338e+01,4.087054940304218897e-02
1.648241206030150963e+01,4.469523903824907524e-02
1.688442211055276587e+01,5.037723663089436338e-02
1.728643216080402212e+01,5.732194028040830946e-02
1.768844221105527836e+01,6.442365492826251927e-02
1.809045226130653461e+01,7.094258913175646719e-02
1.849246231155779085e+01,7.562397602435558253e-02
1.889447236180904710e+01,7.803145335715097608e-02
1.929648241206030335e+01,7.794630115268338932e-02
