time,firstharmonic
# vbeam=6.7368421052631575, gamma=0.0149, sat_time=0.4020100502512563
0.000000000000000000e+00,2.483272675868795562e-02
4.020100502512563012e-01,2.572888630014080052e-02
8.040201005025126024e-01,2.199917727590504704e-02
1.206030150753768959e+00,1.532009473940739233e-02
1.608040201005025205e+00,7.862037322965198527e-03
2.010050251256281673e+00,6.169989715683674505e-03
2.412060301507537918e+00,9.481582736179963028e-03
2.814070351758794164e+00,9.798808335885195522e-03
3.216080402010050410e+00,5.427119440600398394e-03
3.618090452261306655e+00,2.947329794945361976e-03
4.020100502512563345e+00,1.415149999540359950e-02
4.422110552763819591e+00,2.594827679366180223e-02
4.824120603015075837e+00,3.614331705809415568e-02
5.226130653266332082e+00,4.313440119566882419e-02
5.628140703517588328e+00,4.574189012500082946e-02
6.030150753768844574e+00,4.440122512616628825e-02
6.432160804020100819e+00,4.012074425429570240e-02
6.834170854271357065e+00,3.489698313594265938e-02
7.236180904522613311e+00,3.042734705467968828e-02
7.638190954773869557e+00,2.872585125000196721e-02
8.040201005025126690e+00,3.091409397027258810e-02
8.442211055276382936e+00,3.830049716897605122e-02
8.844221105527639182e+00,5.052928129039564731e-02
9.246231155778895427e+00,6.613398311827259346e-02
9.648241206030151673e+00,8.272289931693141418e-02
1.005025125628140792e+01,9.779281382237987874e-02
1.045226130653266416e+01,1.094331286304331269e-01
1.085427135678392041e+01,1.162977639507665889e-01
1.125628140703517666e+01,1.178494393400319612e-01
1.165829145728643290e+01,1.147752137124008198e-01
1.206030150753768915e+01,1.079012702487063685e-01
1.246231155778894539e+01,9.872347371132546290e-02
1.286432160804020164e+01,8.884313593148004951e-02
1.326633165829145788e+01,8.031835131983625087e-02
1.366834170854271413e+01,7.471239429311546387e-02
1.407035175879397038e+01,7.372098059828918748e-02
1.447236180904522662e+01,7.830541788783434987e-02
1.487437185929648287e+01,8.793067140393481806e-02
1.527638190954773911e+01,1.013533802428872033e-01
1.567839195979899536e+01,1.156880314943704163e-01
1.608040201005025338e+01,1.283101634186062379e-01
1.648241206030150963e+01,1.362818849955475531e-01
1.688442211055276587e+01,1.377784778000095134e-01
1.728643216080402212e+01,1.322537444067745371e-01
1.768844221105527836e+01,1.208044471202613240e-01
1.809045226130653461e+01,1.055845681329184577e-01
1.849246231155779085e+01,9.063307857570879200e-02
1.889447236180904710e+01,7.890850893246562081e-02
1.929648241206030335e+01,7.372117375942059680e-02
1.969849246231155959e+01,7.586637586342169504e-02
2.010050251256281584e+01,8.486852318743424994e-02
2.050251256281407208e+01,9.805436210415975629e-02
2.090452261306532833e+01,1.122813114681432412e-01
2.130653266331658457e+01,1.237455908525133541e-01
2.170854271356784082e+01,1.293715139805671765e-01
2.211055276381909707e+01,1.277840418860864691e-01
2.251256281407035331e+01,1.188418103524085945e-01
2.291457286432160956e+01,1.041180545423265463e-01
2.331658291457286580e+01,8.679461220039168257e-02
2.371859296482412205e+01,7.084117276245541217e-02
2.412060301507537829e+01,6.116018494649809456e-02
2.452261306532663454e+01,6.067053431121945811e-02
2.492462311557789079e+01,7.045244315962667647e-02
2.532663316582914703e+01,8.819493106000730887e-02
2.572864321608040328e+01,1.090526255174832509e-01
2.613065326633165952e+01,1.285321468199249473e-01
2.653266331658291577e+01,1.421850839558783663e-01
2.693467336683417201e+01,1.468428863876053980e-01
2.733668341708542826e+01,1.418514955272638656e-01
2.773869346733668451e+01,1.291131932255597803e-01
2.814070351758794075e+01,1.123191864489119507e-01
2.854271356783919700e+01,9.631581524646588843e-02
2.894472361809045324e+01,8.533987304972895371e-02
2.934673366834170949e+01,8.315844775743114203e-02
2.974874371859296573e+01,9.035166438726238702e-02
3.015075376884422198e+01,1.068283795381293338e-01
3.055276381909547823e+01,1.300485178796128849e-01
3.095477386934673447e+01,1.565022314261770853e-01
3.135678391959799072e+01,1.814451319957031961e-01
3.175879396984924696e+01,2.001164541902579752e-01
3.216080402010050676e+01,2.095634686823378556e-01
3.256281407035176301e+01,2.091269053522618326e-01
3.296482412060301925e+01,2.003236719076456340e-01
3.336683417085427550e+01,1.862085084370027344e-01
3.376884422110553174e+01,1.700242763540864011e-01
3.417085427135678799e+01,1.541964043499676751e-01
3.457286432160804424e+01,1.403407020215481082e-01
3.497487437185930048e+01,1.300756155469446895e-01
3.537688442211055673e+01,1.255533879874656533e-01
3.577889447236181297e+01,1.281248434772947198e-01
3.618090452261306922e+01,1.371718687560017913e-01
3.658291457286432546e+01,1.506610396352231485e-01
3.698492462311558171e+01,1.649383390887902423e-01
3.738693467336683796e+01,1.761725282416188310e-01
3.778894472361809420e+01,1.804496074040692344e-01
3.819095477386935045e+01,1.757446010750199350e-01
3.859296482412060669e+01,1.611884851684974862e-01
3.899497487437186294e+01,1.387965205769664256e-01
3.939698492462311918e+01,1.125642964868166507e-01
3.979899497487437543e+01,8.822217599175349867e-02
4.020100502512563168e+01,7.275486974225861547e-02
4.060301507537688792e+01,7.250854394471764608e-02
4.100502512562814417e+01,8.701112218062832804e-02
4.140703517587940041e+01,1.105213926525076412e-01
4.180904522613065666e+01,1.374048741310830712e-01
4.221105527638191290e+01,1.623175270914111179e-01
4.261306532663316915e+01,1.809400117834455701e-01
4.301507537688442540e+01,1.889315603993752535e-01
4.341708542713568164e+01,1.847927212977623634e-01
4.381909547738693789e+01,1.687700847290717343e-01
4.422110552763819413e+01,1.452977066387388383e-01
4.462311557788945038e+01,1.208026861902069815e-01
4.502512562814070662e+01,1.028394800326776631e-01
4.542713567839196287e+01,9.697823582020079214e-02
4.582914572864321912e+01,1.030830216275273326e-01
4.623115577889447536e+01,1.179313626624659828e-01
4.663316582914573161e+01,1.380788309939474101e-01
4.703517587939698785e+01,1.601120713509903426e-01
4.743718592964824410e+01,1.793054529883396919e-01
4.783919597989950034e+01,1.913281030271383187e-01
4.824120603015075659e+01,1.936294281148213670e-01
4.864321608040201284e+01,1.854688791397733072e-01
4.904522613065326908e+01,1.684803885970178605e-01
4.944723618090452533e+01,1.460100727416943633e-01
4.984924623115578157e+01,1.231093710566261573e-01
5.025125628140703782e+01,1.056400525928116174e-01
5.065326633165829406e+01,9.817489181874386461e-02
5.105527638190955031e+01,1.016392298770887603e-01
5.145728643216080656e+01,1.134155925217241040e-01
5.185929648241206280e+01,1.297915473865391134e-01
5.226130653266331905e+01,1.478695552174096040e-01
5.266331658291457529e+01,1.642325443439369703e-01
5.306532663316583154e+01,1.759784058946216589e-01
5.346733668341708778e+01,1.801857026076214008e-01
5.386934673366834403e+01,1.759954728262060619e-01
5.427135678391960028e+01,1.633259718078210465e-01
5.467336683417085652e+01,1.444545698642707432e-01
5.507537688442211277e+01,1.239082758902700226e-01
5.547738693467336901e+01,1.080355020198596749e-01
5.587939698492462526e+01,1.027155205335405358e-01
5.628140703517588150e+01,1.078063736431655040e-01
5.668341708542713775e+01,1.188032775660718132e-01
5.708542713567839400e+01,1.316286305080179853e-01
5.748743718592965024e+01,1.451853185380008737e-01
5.788944723618090649e+01,1.582389360212893559e-01
5.829145728643216273e+01,1.682964120806003383e-01
5.869346733668341898e+01,1.716346123059800943e-01
5.909547738693467522e+01,1.661098681509721176e-01
5.949748743718593147e+01,1.519363461253990244e-01
5.989949748743718771e+01,1.325937673665693317e-01
6.030150753768844396e+01,1.152728511415135743e-01
6.070351758793970021e+01,1.077406775078623841e-01
6.110552763819095645e+01,1.134888392404346663e-01
6.150753768844221270e+01,1.278854211713970623e-01
6.190954773869346894e+01,1.442163089328090397e-01
6.231155778894472519e+01,1.587681578940880744e-01
6.271356783919598143e+01,1.692166407506594528e-01
6.311557788944723768e+01,1.745359025560663524e-01
6.351758793969849393e+01,1.739355836189181714e-01
6.391959798994975017e+01,1.670049245025253259e-01
6.432160804020101352e+01,1.542698520634963044e-01
6.472361809045226266e+01,1.376261847860144050e-01
6.512562814070352601e+01,1.190093927041038502e-01
6.552763819095477515e+01,1.022865467189748995e-01
6.592964824120603851e+01,9.369792073773365593e-02
6.633165829145728765e+01,9.935924094433216947e-02
6.673366834170855100e+01,1.176431265649639651e-01
6.713567839195980014e+01,1.402827032736884971e-01
6.753768844221106349e+01,1.588575805551638298e-01
6.793969849246231263e+01,1.689699111370857876e-01
6.834170854271357598e+01,1.684770444351868235e-01
6.874371859296482512e+01,1.580237911272175944e-01
6.914572864321608847e+01,1.409039898722443396e-01
6.954773869346733761e+01,1.213623871806335658e-01
6.994974874371860096e+01,1.023441433483759377e-01
7.035175879396985010e+01,8.628892229845457063e-02
7.075376884422111345e+01,7.715546394518080220e-02
7.115577889447236259e+01,8.290635368022296336e-02
7.155778894472362595e+01,1.064823412652837475e-01
7.195979899497487509e+01,1.395041914345598877e-01
7.236180904522613844e+01,1.716072315854860753e-01
7.276381909547738758e+01,1.947243232515727951e-01
7.316582914572865093e+01,2.042347272089045374e-01
7.356783919597990007e+01,1.986556243029250213e-01
7.396984924623116342e+01,1.795470680407298958e-01
7.437185929648241256e+01,1.512995235071136202e-01
7.477386934673367591e+01,1.203858432047176380e-01
7.517587939698492505e+01,9.362659826160277254e-02
7.557788944723618840e+01,7.605419270555248412e-02
7.597989949748743754e+01,7.241294676675623376e-02
7.638190954773870089e+01,8.552087090188123519e-02
7.678391959798995003e+01,1.120026328840389995e-01
7.718592964824121339e+01,1.433923361203176816e-01
7.758793969849246253e+01,1.716199467865649475e-01
7.798994974874372588e+01,1.898738835472540409e-01
7.839195979899497502e+01,1.939007008972345736e-01
7.879396984924623837e+01,1.828277183808113548e-01
7.919597989949748751e+01,1.589921190907007120e-01
7.959798994974875086e+01,1.270234933949944967e-01
8.000000000000000000e+01,9.360979167865644823e-02
