time,firstharmonic
# noise_floor=0.00163628661856103, sat_time=0.0
0.000000000000000000e+00,2.137281319169932400e-02
4.020100502512563012e-01,1.916042968713777689e-02
8.040201005025126024e-01,1.391463529064316043e-02
1.206030150753768959e+00,6.673365640715159426e-03
1.608040201005025205e+00,3.057434723557120402e-03
2.010050251256281673e+00,1.034246831765965081e-02
2.412060301507537918e+00,1.650170658209852009e-02
2.814070351758794164e+00,1.989194684509741282e-02
3.216080402010050410e+00,2.002454607930351238e-02
3.618090452261306655e+00,1.682762337304194097e-02
4.020100502512563345e+00,1.081669718384647289e-02
4.422110552763819591e+00,3.328693382255819202e-03
4.824120603015075837e+00,5.882731181771199205e-03
5.226130653266332082e+00,1.326910786842369974e-02
5.628140703517588328e+00,1.867326625708794208e-02
6.030150753768844574e+00,2.116581539364221706e-02
6.432160804020100819e+00,2.028352307967010507e-02
6.834170854271357065e+00,1.626210405770859430e-02
7.236180904522613311e+00,9.790770039127061689e-03
7.638190954773869557e+00,2.836804832323136689e-03
8.040201005025126690e+00,7.313660169316858750e-03
8.442211055276382936e+00,1.427965338486467638e-02
8.844221105527639182e+00,1.895578235358390262e-02
9.246231155778895427e+00,2.042724789575240535e-02
9.648241206030151673e+00,1.844961786481611604e-02
1.005025125628140792e+01,1.339090550420820799e-02
1.045226130653266416e+01,6.243420182601649472e-03
1.085427135678392041e+01,2.223180647728752526e-03
1.125628140703517666e+01,9.865220620226182111e-03
1.165829145728643290e+01,1.618821565423037706e-02
1.206030150753768915e+01,2.023567464312873987e-02
1.246231155778894539e+01,2.118446096886279079e-02
1.286432160804020164e+01,1.875686133228086222e-02
1.326633165829145788e+01,1.382950029689635277e-02
1.366834170854271413e+01,8.853479782181311944e-03
1.407035175879397038e+01,8.172434371119150290e-03
1.447236180904522662e+01,1.212711957064425798e-02
1.487437185929648287e+01,1.616142339818557247e-02
1.527638190954773911e+01,1.786879176989298462e-02
1.567839195979899536e+01,1.621807342548284292e-02
1.608040201005025338e+01,1.151248041364686357e-02
1.648241206030150963e+01,4.691966625347368178e-03
1.688442211055276587e+01,3.320114536159746253e-03
1.728643216080402212e+01,1.075223259910333164e-02
1.768844221105527836e+01,1.649466221487884063e-02
1.809045226130653461e+01,1.944538052474976270e-02
1.849246231155779085e+01,1.898515553763119659e-02
1.889447236180904710e+01,1.562126248854671731e-02
1.929648241206030335e+01,1.014816212447748264e-02
1.969849246231155959e+01,4.903391427522508714e-03
2.010050251256281584e+01,8.123880434488838995e-03
2.050251256281407208e+01,1.405191361417811903e-02
2.090452261306532833e+01,1.818469261189817332e-02
2.130653266331658457e+01,1.940165593280906292e-02
2.170854271356784082e+01,1.744576008754374075e-02
2.211055276381909707e+01,1.294783474404181609e-02
2.251256281407035331e+01,7.493979936599760860e-03
2.291457286432160956e+01,5.058245456626414907e-03
2.331658291457286580e+01,9.228947667760769788e-03
2.371859296482412205e+01,1.406040285132562073e-02
2.412060301507537829e+01,1.715880991586892293e-02
2.452261306532663454e+01,1.798994898172779841e-02
2.492462311557789079e+01,1.649372927754491625e-02
2.532663316582914703e+01,1.305393191929902531e-02
2.572864321608040328e+01,8.567351035000435669e-03
2.613065326633165952e+01,5.295255728966400711e-03
2.653266331658291577e+01,7.618031894774404678e-03
2.693467336683417201e+01,1.156712446057964021e-02
2.733668341708542826e+01,1.462076314205762798e-02
2.773869346733668451e+01,1.605797755577937150e-02
2.814070351758794075e+01,1.577528023069457025e-02
2.854271356783919700e+01,1.453846499404044292e-02
2.894472361809045324e+01,1.372557042726661736e-02
2.934673366834170949e+01,1.478689744624226386e-02
2.974874371859296573e+01,1.724710130269563324e-02
3.015075376884422198e+01,1.964085731503472515e-02
3.055276381909547823e+01,2.056968410057367913e-02
3.095477386934673447e+01,1.921702644200101728e-02
3.135678391959799072e+01,1.594027119501909701e-02
3.175879396984924696e+01,1.096190589472099096e-02
3.216080402010050676e+01,5.043072686349332409e-03
3.256281407035176301e+01,4.276710664120161182e-03
3.296482412060301925e+01,9.248558993102441034e-03
3.336683417085427550e+01,1.381980682763729075e-02
3.376884422110553174e+01,1.684122920792491609e-02
3.417085427135678799e+01,1.796535936695966423e-02
3.457286432160804424e+01,1.726987106547032275e-02
3.497487437185930048e+01,1.562953542063716741e-02
3.537688442211055673e+01,1.463661479009947461e-02
3.577889447236181297e+01,1.571836330040398896e-02
3.618090452261306922e+01,1.822081645337165351e-02
3.658291457286432546e+01,2.038119092555113615e-02
3.698492462311558171e+01,2.094819238234586420e-02
3.738693467336683796e+01,1.935051016838416557e-02
3.778894472361809420e+01,1.539701532223491584e-02
3.819095477386935045e+01,9.913000886894774571e-03
3.859296482412060669e+01,4.057610055581910291e-03
3.899497487437186294e+01,4.630117470327459704e-03
3.939698492462311918e+01,9.636492386617647593e-03
3.979899497487437543e+01,1.300235885715391934e-02
4.020100502512563168e+01,1.404358247440296373e-02
4.060301507537688792e+01,1.295791785981584808e-02
4.100502512562814417e+01,1.068266961113251146e-02
4.140703517587940041e+01,9.958868536112186823e-03
4.180904522613065666e+01,1.273257666651430621e-02
4.221105527638191290e+01,1.714865860123100313e-02
4.261306532663316915e+01,2.113005234050055123e-02
4.301507537688442540e+01,2.309582652899847682e-02
4.341708542713568164e+01,2.275226786350702246e-02
4.381909547738693789e+01,1.993930145587850117e-02
4.422110552763819413e+01,1.501043042714572152e-02
4.462311557788945038e+01,8.471542471193511600e-03
4.502512562814070662e+01,1.636286618561029905e-03
4.542713567839196287e+01,4.548978272165148454e-03
4.582914572864321912e+01,8.999494527783471684e-03
4.623115577889447536e+01,1.116492120586210293e-02
4.663316582914573161e+01,1.069984039158813904e-02
4.703517587939698785e+01,8.283033329047947285e-03
4.743718592964824410e+01,5.748925914202373741e-03
4.783919597989950034e+01,7.100625344587671930e-03
