vbeam,gamma_mean,gamma_std,fraction_valid,n_valid
0.0,0.0,0.0,0.0,0
0.42105263157894735,0.0,0.0,0.0,0
0.8421052631578947,0.01784846625281421,0.0,0.3333333333333333,1
1.263157894736842,0.018979223030933093,0.0,1.0,3
1.6842105263157894,0.00614596887054174,0.0,1.0,3
2.1052631578947367,0.0075861102133988325,0.007625879588359409,1.0,3
2.526315789473684,0.0021917871204196974,0.0,1.0,3
2.9473684210526314,0.004763911606738187,0.0,1.0,3
3.3684210526315788,0.009007360219712898,0.0,1.0,3
3.789473684210526,0.00860617256434226,0.0,1.0,3
4.2105263157894735,0.01788821377716351,0.007427589277607219,1.0,3
4.631578947368421,0.0303738442994464,0.0,1.0,3
5.052631578947368,0.02346730416412667,0.0018499174768814568,1.0,3
5.473684210526315,0.022725039192274487,0.010351704430179447,1.0,3
5.894736842105263,0.02319123504532288,0.0035117300168582325,1.0,3
6.315789473684211,0.02248879317982443,0.0037240237340113525,1.0,3
6.7368421052631575,0.019771994867015138,0.006627373057371343,1.0,3
7.157894736842104,0.0,0.0,0.0,0
7.578947368421052,0.011456937879609622,0.0,1.0,3
8.0,0.03445283242657977,0.01538046727935218,1.0,3
