time,firstharmonic
# noise_floor=0.001403531226849343, sat_time=0.0
0.000000000000000000e+00,1.821540424203703032e-02
4.020100502512563012e-01,1.584370844622016994e-02
8.040201005025126024e-01,1.100528415375066210e-02
1.206030150753768959e+00,4.719345909879526547e-03
1.608040201005025205e+00,3.301796609626440979e-03
2.010050251256281673e+00,8.010514646104719902e-03
2.412060301507537918e+00,9.995460053278556328e-03
2.814070351758794164e+00,9.335249769793134075e-03
3.216080402010050410e+00,5.180161646545279955e-03
3.618090452261306655e+00,1.403531226849343092e-03
4.020100502512563345e+00,8.351470333402274265e-03
4.422110552763819591e+00,1.514761348831037725e-02
4.824120603015075837e+00,1.997914436347630190e-02
5.226130653266332082e+00,2.195719965880982283e-02
5.628140703517588328e+00,2.127056717153310433e-02
6.030150753768844574e+00,1.777799013762456845e-02
6.432160804020100819e+00,1.360374456902544230e-02
6.834170854271357065e+00,9.771429980639146154e-03
7.236180904522613311e+00,7.968301848266270276e-03
7.638190954773869557e+00,7.237160219048287615e-03
8.040201005025126690e+00,7.529441856706363401e-03
8.442211055276382936e+00,1.202173536518975211e-02
8.844221105527639182e+00,2.010849696381501739e-02
9.246231155778895427e+00,3.056280918388504936e-02
9.648241206030151673e+00,4.090178863373179763e-02
1.005025125628140792e+01,5.025920382938840053e-02
1.045226130653266416e+01,5.772367656626260779e-02
1.085427135678392041e+01,6.301061112930818331e-02
1.125628140703517666e+01,6.674939146890704333e-02
1.165829145728643290e+01,6.982683020142325947e-02
1.206030150753768915e+01,7.314934201080354470e-02
1.246231155778894539e+01,7.821985526453634208e-02
1.286432160804020164e+01,8.595490922179546689e-02
1.326633165829145788e+01,9.686114380654915756e-02
1.366834170854271413e+01,1.118363537993060375e-01
1.407035175879397038e+01,1.297224407114424272e-01
1.447236180904522662e+01,1.495852376678316054e-01
1.487437185929648287e+01,1.697495356896184249e-01
1.527638190954773911e+01,1.879683924438632081e-01
1.567839195979899536e+01,2.018171163721111383e-01
1.608040201005025338e+01,2.081673067037492220e-01
1.648241206030150963e+01,2.046248797519785168e-01
1.688442211055276587e+01,1.914687169464552585e-01
1.728643216080402212e+01,1.712370213985097422e-01
1.768844221105527836e+01,1.485649226613531826e-01
1.809045226130653461e+01,1.281894739634471814e-01
1.849246231155779085e+01,1.146746736475913464e-01
1.889447236180904710e+01,1.115325088165706607e-01
1.929648241206030335e+01,1.187335087780878873e-01
1.969849246231155959e+01,1.332014958022668671e-01
2.010050251256281584e+01,1.491340092736276601e-01
2.050251256281407208e+01,1.602079635239713751e-01
2.090452261306532833e+01,1.612554849473386842e-01
2.130653266331658457e+01,1.490077629574672602e-01
2.170854271356784082e+01,1.231367440713575234e-01
2.211055276381909707e+01,8.599168569180572208e-02
2.251256281407035331e+01,4.394130646109621618e-02
2.291457286432160956e+01,1.213598909434278512e-02
2.331658291457286580e+01,3.326516973085170970e-02
2.371859296482412205e+01,4.966849348529409763e-02
2.412060301507537829e+01,5.005630370716430966e-02
2.452261306532663454e+01,3.881910864424350377e-02
2.492462311557789079e+01,3.346114958072883561e-02
2.532663316582914703e+01,5.314433550819454288e-02
2.572864321608040328e+01,7.942078719288182820e-02
2.613065326633165952e+01,9.728737422110013411e-02
2.653266331658291577e+01,1.015130085476021737e-01
2.693467336683417201e+01,9.190370455234340985e-02
2.733668341708542826e+01,7.480221963748748260e-02
2.773869346733668451e+01,6.361028466240926937e-02
2.814070351758794075e+01,6.864441500303521126e-02
2.854271356783919700e+01,8.184287065303326447e-02
2.894472361809045324e+01,9.114484681312398640e-02
2.934673366834170949e+01,9.275585054212955038e-02
2.974874371859296573e+01,9.174159659172370640e-02
3.015075376884422198e+01,9.801820819454212796e-02
3.055276381909547823e+01,1.155419478990781651e-01
3.095477386934673447e+01,1.370664860149100051e-01
3.135678391959799072e+01,1.537064263589845714e-01
3.175879396984924696e+01,1.598552720585169618e-01
3.216080402010050676e+01,1.551135332789764232e-01
3.256281407035176301e+01,1.428161404296592885e-01
3.296482412060301925e+01,1.285470533004363369e-01
3.336683417085427550e+01,1.166429497604035415e-01
